Date,Close,Open,High,Low,Vol.,change
2020-01-02,"3,257.85","3,244.67","3,258.14","3,235.53",-,0.84%
2020-01-03,"3,234.85","3,226.36","3,246.15","3,222.34",-,-0.71%
2020-01-06,"3,246.28","3,217.55","3,246.84","3,214.64",-,0.35%
2020-01-07,"3,237.18","3,241.86","3,244.91","3,232.43",-,-0.28%
2020-01-08,"3,253.05","3,238.59","3,267.07","3,236.67",-,0.49%
2020-01-09,"3,274.70","3,266.03","3,275.58","3,263.67",-,0.67%
2020-01-10,"3,265.35","3,281.81","3,282.99","3,260.86",-,-0.29%
2020-01-13,"3,288.13","3,271.13","3,288.13","3,268.43",-,0.70%
2020-01-14,"3,283.15","3,285.35","3,294.25","3,277.19",-,-0.15%
2020-01-15,"3,289.29","3,282.27","3,298.66","3,280.69",-,0.19%
2020-01-16,"3,316.81","3,302.97","3,317.11","3,302.82",-,0.84%
2020-01-17,"3,329.62","3,323.66","3,329.88","3,318.86",-,0.39%
2020-01-21,"3,320.79","3,321.03","3,329.79","3,316.61",-,-0.27%
2020-01-22,"3,321.75","3,330.02","3,337.77","3,320.04",-,0.03%
2020-01-23,"3,325.54","3,315.77","3,326.88","3,301.87",-,0.11%
2020-01-24,"3,295.47","3,333.10","3,333.18","3,281.53",-,-0.90%
2020-01-27,"3,243.63","3,247.16","3,258.85","3,234.50",-,-1.57%
2020-01-28,"3,276.24","3,255.35","3,285.78","3,253.22",-,1.01%
2020-01-29,"3,273.40","3,289.46","3,293.47","3,271.89",-,-0.09%
2020-01-30,"3,283.66","3,256.45","3,285.91","3,242.80",-,0.31%
2020-01-31,"3,225.52","3,282.33","3,282.33","3,214.68",-,-1.77%
2020-02-03,"3,248.92","3,235.66","3,268.44","3,235.66",-,0.73%
2020-02-04,"3,297.59","3,280.61","3,306.92","3,280.61",-,1.50%
2020-02-05,"3,334.69","3,324.91","3,337.58","3,313.75",-,1.13%
2020-02-06,"3,345.78","3,344.92","3,347.96","3,334.39",-,0.33%
2020-02-07,"3,327.71","3,335.54","3,341.42","3,322.12",-,-0.54%
2020-02-10,"3,352.09","3,318.28","3,352.26","3,317.77",-,0.73%
2020-02-11,"3,357.75","3,365.87","3,375.63","3,352.72",-,0.17%
2020-02-12,"3,379.45","3,370.50","3,381.47","3,369.72",-,0.65%
2020-02-13,"3,373.94","3,365.90","3,385.09","3,360.52",-,-0.16%
2020-02-14,"3,380.16","3,378.08","3,380.69","3,366.15",-,0.18%
2020-02-18,"3,370.29","3,369.04","3,375.01","3,355.61",-,-0.29%
2020-02-19,"3,386.15","3,380.39","3,393.52","3,378.83",-,0.47%
2020-02-20,"3,373.23","3,380.45","3,389.15","3,341.02",-,-0.38%
2020-02-21,"3,337.75","3,360.50","3,360.76","3,328.45",-,-1.05%
2020-02-24,"3,225.89","3,257.61","3,259.81","3,214.65",-,-3.35%
2020-02-25,"3,128.21","3,238.94","3,246.99","3,118.77",-,-3.03%
2020-02-26,"3,116.39","3,139.90","3,182.51","3,108.99",-,-0.38%
2020-02-27,"2,978.76","3,062.54","3,097.07","2,977.39",-,-4.42%
2020-02-28,"2,954.22","2,916.90","2,959.72","2,855.84",-,-0.82%
2020-03-02,"3,090.23","2,974.28","3,090.96","2,945.19",-,4.60%
2020-03-03,"3,003.37","3,096.46","3,136.72","2,976.63",-,-2.81%
2020-03-04,"3,130.12","3,045.75","3,130.97","3,034.38",-,4.22%
2020-03-05,"3,023.94","3,075.70","3,083.04","2,999.83",-,-3.39%
2020-03-06,"2,972.37","2,954.20","2,985.93","2,901.54",-,-1.71%
2020-03-09,"2,746.56","2,863.89","2,863.89","2,734.43",-,-7.60%
2020-03-10,"2,882.23","2,813.48","2,882.59","2,734.00",-,4.94%
2020-03-11,"2,741.38","2,825.60","2,825.60","2,707.22",-,-4.89%
2020-03-12,"2,480.64","2,630.86","2,660.95","2,478.86",-,-9.51%
2020-03-13,"2,711.02","2,569.99","2,711.33","2,492.37",-,9.29%
2020-03-16,"2,386.13","2,508.59","2,562.98","2,380.94",-,-11.98%
2020-03-17,"2,529.19","2,425.66","2,553.93","2,367.04",-,6.00%
2020-03-18,"2,398.10","2,436.50","2,453.57","2,280.52",-,-5.18%
