Date,m2,change,unit
2020-01-31,2436423,,million
2020-02-29,2459731,0.009566483,
2020-03-31,2593934,0.054560031,
2020-04-30,2628047,0.013151067,
2020-05-31,2687712,0.022703171,
2020-06-30,2712181,0.009104026,
2020-07-31,2719885,0.002840518,
2020-08-31,2729590,0.003568166,
2020-09-30,2733441,0.001410835,
2020-10-31,2769180,0.013074729,
2020-11-30,2789713,0.00741483,
2020-12-31,2807722,0.006455503,
2021-01-31,2794199,-0.00481636,
