Date,m2,change,unit
2020-01-01,15316.3,,billion
2020-02-01,15350.4,0.22%,
2020-03-01,16642.5,8.42%,
2020-04-01,17348.3,4.24%,
2020-05-01,17809.9,2.66%,
2020-06-01,18188.2,2.12%,
2020-07-01,18140.8,-0.26%,
2020-08-01,18411.1,1.49%,
2020-09-01,18525.7,0.62%,
2020-10-01,18680.8,0.84%,
2020-11-01,19097.4,2.23%,
2020-12-01,19332.1,1.23%,
2021-01-01,19321.9,-0.05%,
