Date,m2,change,unit
2020-01-20,388517,,million USD
2020-02-20,355354.8,-8.54%,
2020-03-20,396161.5,11.48%,
2020-04-20,398870.5,0.68%,
2020-05-20,395351.4,-0.88%,
2020-06-20,397006.94,0.42%,
2020-07-20,406329.2,2.35%,
2020-08-20,412118.7,1.42%,
2020-09-20,399908.5,-2.96%,
2020-10-20,404757.5,1.21%,
2020-11-20,394876.2,-2.44%,
2020-12-20,402586.8,1.95%,
