Date,Close,Open,High,Low,Vol.,change
2020-01-02,"17,099.95","17,131.63","17,164.55","17,043.47",156.21M,0.21%
2020-01-03,"17,066.12","17,054.84","17,105.66","17,033.21",185.49M,-0.20%
2020-01-06,"17,105.47","17,042.25","17,105.47","17,041.16",195.35M,0.23%
2020-01-07,"17,168.06","17,119.58","17,178.04","17,110.27",171.92M,0.37%
2020-01-08,"17,167.82","17,172.69","17,229.88","17,164.62",246.98M,0.00%
2020-01-09,"17,235.57","17,205.93","17,255.51","17,201.33",222.50M,0.39%
2020-01-10,"17,234.49","17,223.24","17,254.06","17,187.22",192.51M,-0.01%
2020-01-13,"17,293.42","17,237.62","17,301.76","17,198.88",268.09M,0.34%
2020-01-14,"17,352.90","17,288.61","17,356.47","17,281.26",235.50M,0.34%
2020-01-15,"17,415.17","17,364.81","17,421.67","17,345.09",207.64M,0.36%
2020-01-16,"17,484.77","17,443.54","17,489.56","17,438.49",261.42M,0.40%
2020-01-17,"17,559.02","17,507.70","17,572.15","17,502.44",224.67M,0.42%
2020-01-20,"17,597.39","17,548.09","17,620.19","17,538.37",111.82M,0.22%
2020-01-21,"17,572.28","17,551.53","17,589.52","17,536.31",241.56M,-0.14%
2020-01-22,"17,599.86","17,570.29","17,666.45","17,557.98",213.33M,0.16%
2020-01-23,"17,621.78","17,564.77","17,621.78","17,540.77",330.91M,0.12%
2020-01-24,"17,565.34","17,629.40","17,646.35","17,514.66",193.69M,-0.32%
2020-01-27,"17,442.52","17,376.78","17,466.12","17,360.04",203.77M,-0.70%
2020-01-28,"17,500.88","17,474.95","17,518.95","17,456.06",198.14M,0.33%
2020-01-29,"17,511.75","17,547.48","17,561.87","17,496.73",169.41M,0.06%
2020-01-30,"17,490.56","17,429.58","17,502.91","17,395.85",191.07M,-0.12%
2020-01-31,"17,318.49","17,442.25","17,450.72","17,272.73",239.16M,-0.98%
2020-02-03,"17,379.76","17,351.01","17,441.57","17,351.01",196.33M,0.35%
