Date,m2,change,unit
2020-01-20,202306.649,,billion
2020-02-20,203083.042,0.38%,
2020-03-20,208092.341,2.47%,
2020-04-20,209353.383,0.61%,
2020-05-20,210018.374,0.32%,
2020-06-20,213494.866,1.66%,
2020-07-20,212545.846,-0.44%,
2020-08-20,213680,0.53%,
2020-09-20,216410,1.28%,
2020-10-20,214970,-0.67%,
2020-11-20,217200,1.04%,
2020-12-20,218680,0.68%,
2021-01-21,221300,1.20%,
