Date,m2,change,unit
2020-01-01,6.5,,billion
2020-02-01,6.7,3.08%,
2020-03-01,7.4,10.45%,
2020-04-01,8.7,17.57%,
2020-05-01,10,14.94%,
2020-06-01,11.2,12.00%,
2020-07-01,11.6,3.57%,
2020-08-01,12.2,5.17%,
2020-09-01,12.5,2.46%,
2020-10-01,12.8,2.40%,
2020-11-01,13.2,3.12%,
2020-12-01,13.5,2.27%,
