Date,m2,change,unit
2020-01-20,12.4,,none
2020-02-20,12.49,0.73%,
2020-03-20,12.77,2.24%,
2020-04-20,12.95,1.41%,
2020-05-20,13.11,1.24%,
2020-06-20,13.18,0.53%,
2020-07-20,13.28,0.76%,
2020-08-20,13.32,0.30%,
2020-09-20,13.45,0.98%,
2020-10-20,13.51,0.45%,
2020-11-20,13.61,0.74%,
2020-12-20,13.74,0.96%,
2021-01-21,13.83,0.66%,
